name;essround;edition;proddate;idno;cntry;dweight;pweight;polintr;psppsgva;psppipla;trstprl;trstplt;trstprt;vote;pbldmna;clsprty;gndr;agea;edulvlb;hinctnta;prob;stratum;psu
ESS11e01;11;10;20062024;54499;AT;873454;33091453;3;3;3;5;4;4;2;2;2;2;55;322;8;78511756;100;273
ESS11e01;11;10;20062024;54554;AT;5811279;33091453;1;3;3;5;2;2;1;2;1;1;52;720;9;11800571;75;162
ESS11e01;11;10;20062024;54557;AT;5486541;33091453;4;2;2;8;5;4;1;2;1;1;49;322;3;12499023;51;53
ESS11e01;11;10;20062024;54578;AT;9641516;33091453;1;1;1;5;5;5;1;2;2;1;76;423;8;71126164;41;21
ESS11e01;11;10;20062024;54588;AT;1473217;33091453;2;2;2;7;4;4;1;2;1;1;41;710;10;46548745;21;613
ESS11e01;11;10;20062024;54675;AT;6494271;33091453;2;2;2;6;4;4;1;2;1;2;85;322;2;10559523;10;385
ESS11e01;11;10;20062024;54697;AT;45327097;33091453;4;1;1;2;1;1;1;2;1;1;76;322;5;15129228;73;161
ESS11e01;11;10;20062024;54730;AT;4350144;33091453;3;2;2;6;5;5;1;2;1;2;88;212;2;15764169;103;305
ESS11e01;11;10;20062024;54735;AT;4991056;33091453;2;2;2;6;5;5;1;2;1;2;76;322;2;13739859;48;44
ESS11e01;11;10;20062024;54744;AT;6494272;33091453;1;3;3;4;4;5;1;2;1;2;66;800;9;10559522;10;383
ESS11e01;11;10;20062024;54796;AT;6098981;33091453;2;1;1;1;3;2;1;2;1;1;84;322;3;11243912;69;132
ESS11e01;11;10;20062024;54801;AT;38490957;33091453;2;3;3;5;5;5;1;2;1;2;89;422;2;17816238;102;300
ESS11e01;11;10;20062024;54837;AT;5560615;33091453;3;2;3;5;3;4;1;1;2;2;33;610;4;12332522;101;285
